post_title,post_slug,post_status,post_type,post_category,post_content,post_address,city,region,zip,country,post_latitude,post_longitude,geodir_contact_phone,geodir_email,geodir_website,geodir_practice_name,street,geodir_license_type,geodir_license_number,geodir_license_state,geodir_license_verified,geodir_specializations,geodir_insurance_accepted,geodir_sliding_scale,geodir_price_range_min,geodir_price_range_max,geodir_session_length,geodir_telehealth,geodir_telehealth_platform,geodir_accepting_new_patients,geodir_wait_time,geodir_languages,geodir_therapy_approaches,geodir_age_groups_served,geodir_gender,geodir_years_experience,geodir_education,geodir_profile_image_url,geodir_google_rating,geodir_google_review_count,geodir_last_verified_date,geodir_data_source,geodir_enrichment_status
The Counseling Center Of Maryland,the-counseling-center-of-maryland-bethesda-md,publish,gd_place,Therapist,"The Counseling Center Of Maryland (PhD) in Bethesda, MD. Specializes in Addiction, Anger Management, Anxiety, Bipolar Disorder, Child/Adolescent.","8030 Woodmont Ave F3, Bethesda, MD 20814",Bethesda,MD,20814,US,38.9904019,-77.09666179999999,(888) 839-9973,,https://www.counselingcenterofmaryland.com/%3Futm_source%3Dgoogle%26utm_medium%3Dbiz-profile%26utm_campaign%3Dmaryland%26utm_content%3Dbethesda,,8030 Woodmont Ave f3,PhD,,MD,,"Addiction, Anger Management, Anxiety, Bipolar Disorder, Child/Adolescent, Couples/Marriage, Depression, Family, Stress Management",,Unknown,,,,Unknown,,Unknown,,,"ACT, CBT, DBT, EMDR, Gottman Method, IFS, Mindfulness-Based",,,,groups](https://www.counselingcenterofmaryland.com/mindfulness-training-groups/); ms Therapy](https://www.counselingcenterofmaryland.com/tag/internal-family-systems-therapy/) [maintaini,,4.9,41,2026-02-18,outscraper,enriched_basic
"Bay Area Counseling & Consultation, LLC.",bay-area-counseling-consultation-llc-severna-park-md,publish,gd_place,Therapist,"Bay Area Counseling & Consultation, LLC. in Severna Park, MD. Specializes in Addiction, Anxiety, Couples/Marriage, Family, LGBTQ+. Accepts Beacon Health, Johns Hopkins EHP, Kaiser Permanente. Telehealth available.","601 Baltimore Annapolis Blvd, Severna Park, MD 21146",Severna Park,MD,21146,US,39.0721391,-76.54609599999999,(410) 553-4450,,https://bayareacounseling.consulting,,601 Baltimore Annapolis Blvd,,,MD,,"Addiction, Anxiety, Couples/Marriage, Family, LGBTQ+, PTSD/Trauma","Beacon Health, Johns Hopkins EHP, Kaiser Permanente",Unknown,,,,Yes - Video,TheraNest,Unknown,,,EMDR,,,,"ma Informed](https://bayareacounseling.consulting/trauma-informed-treatment/); ma around mental health and building a community where every person feels welcome and valued; MSW
Psychotherapist",,4.8,42,2026-02-18,outscraper,enriched_full
Thrive Therapy Maryland,thrive-therapy-maryland-greenbelt-md,publish,gd_place,Therapist,"Thrive Therapy Maryland in Greenbelt, MD.","7500 Greenway Center Dr Suite 203, Greenbelt, MD 20770",Greenbelt,MD,20770,US,38.9921573,-76.8814009,(240) 614-2177,,http://www.thrivetherapymd.com/new-clients%3Futm_source%3Dgoogle%26utm_medium%3Dwix_google_business_profile%26utm_campaign%3D2220336287412016684,,7500 Greenway Center Dr Suite 203,,,MD,,,,Unknown,,,,Unknown,,Unknown,,,,,,,,,4.2,31,2026-02-18,outscraper,enriched_basic
Kentlands Psychotherapy,kentlands-psychotherapy-gaithersburg-md,publish,gd_place,Therapist,"Kentlands Psychotherapy (MD/Psychiatrist) in Gaithersburg, MD. Specializes in ADHD, Addiction, Anxiety, Autism Spectrum, Child/Adolescent. Accepts Kaiser Permanente, Out-of-Network. Telehealth available.","301 Inspiration Ln, Gaithersburg, MD 20878",Gaithersburg,MD,20878,US,39.1208429,-77.2373046,(240) 252-3349,,http://www.kentlandspsychotherapy.com,,301 Inspiration Ln,MD/Psychiatrist,,MD,,"ADHD, Addiction, Anxiety, Autism Spectrum, Child/Adolescent, Couples/Marriage, Depression, Eating Disorders, Family, Grief, LGBTQ+, Life Transitions, PTSD/Trauma, Sleep Issues, Stress Management","Kaiser Permanente, Out-of-Network",Unknown,,,,Yes - Video,,Unknown,,"English, French, German, Spanish","ACT, CBT, DBT, EFT, Gottman Method, IFS, Mindfulness-Based, Play Therapy, Somatic",,,,al academic struggles](https://www.kentlandspsychotherapy.com/testing-assessment/psychological-psychoeducational-testing-for-children/); al-testing-for-children/); al testing near potomac maryland](https://www.kentlandspsychotherapy.com/wp-content/uploads/bb-plugin/cache/kids-struggling-at-school-62964fa6c75ab-panorama-ed8cb9a401d799dba39aca97e9edb636-icn6skq439,,4.8,39,2026-02-18,outscraper,enriched_full
"GY COUNSELING, LLC",gy-counseling-llc-millersville-md,publish,gd_place,Therapist,"GY COUNSELING, LLC (PhD) in Millersville, MD. Specializes in ADHD, Anger Management, Anxiety, Child/Adolescent, Couples/Marriage. Telehealth available. Currently accepting new patients.","1110 Benfield Blvd, Millersville, MD 21108",Millersville,MD,21108,US,39.0950488,-76.6324984,(301) 529-1095,,https://www.gycounseling.com,,1110 Benfield Blvd,PhD,,MD,,"ADHD, Anger Management, Anxiety, Child/Adolescent, Couples/Marriage, Depression, Family, Grief, Life Transitions, PTSD/Trauma, Stress Management",,Unknown,,,,Yes - Video,,Yes,,Spanish,"CBT, DBT, EMDR",,,,ma ](https://www.gycounseling.com/trauma); ba TherapySites](https://www.therapysites.com),,4.8,21,2026-02-18,outscraper,enriched_basic
Shoreline Counseling Services LLC,shoreline-counseling-services-llc-pasadena-md,publish,gd_place,Therapist,"Shoreline Counseling Services LLC in Pasadena, MD. Specializes in Anger Management, Child/Adolescent, Couples/Marriage, Family. Telehealth available.","2446 Mountain Rd #200, Pasadena, MD 21122",Pasadena,MD,21122,US,39.128758,-76.546784,(410) 255-9085,,http://www.shorelinecounselingservice.com,,2446 Mountain Rd #200,,,MD,,"Anger Management, Child/Adolescent, Couples/Marriage, Family",,Unknown,,,,Yes - Video,,Unknown,,,"CBT, DBT",,,,", impulse control skills training, effective communication skills, parent-child interaction therapy, family therapy & parenting skills training; MD 21122. We offer both IN person and VIRTUAL appointments",,4.6,27,2026-02-18,outscraper,enriched_basic
Maryland Integrative Counseling Associates,maryland-integrative-counseling-associates-rockville-md,publish,gd_place,Therapist,"Maryland Integrative Counseling Associates in Rockville, MD. Specializes in ADHD, Addiction, Anxiety, Child/Adolescent, Couples/Marriage. Accepts Aetna, BlueCross BlueShield, Cigna and 3 more. Telehealth available. Currently accepting new patients.","7520 Standish Pl #190, Rockville, MD 20855",Rockville,MD,20855,US,39.1074662,-77.1547902,(301) 525-2029,,http://www.micatherapy.com,,7520 Standish Pl #190,,,MD,,"ADHD, Addiction, Anxiety, Child/Adolescent, Couples/Marriage, Depression, Family, LGBTQ+, Life Transitions, PTSD/Trauma","Aetna, BlueCross BlueShield, Cigna, Out-of-Network, Self-Pay Only, UnitedHealthcare",Unknown,,,,Yes - Video,,Yes,,,"Art Therapy, Play Therapy",,,,](https://www.micatherapy.com/general-9); therapy that can be used as a stand-alone treatment or in addition to talk-therapy; not interested in neurotherapy,,4.8,4,2026-02-18,outscraper,enriched_full
Baltimore Therapy Group,baltimore-therapy-group-towson-md,publish,gd_place,Therapist,"Baltimore Therapy Group (PhD) in Towson, MD. Specializes in ADHD, Addiction, Anxiety, Child/Adolescent, Couples/Marriage. Accepts Kaiser Permanente. Telehealth available. Currently accepting new patients.","1122 Kenilworth Dr #416, Towson, MD 21204",Towson,MD,21204,US,39.4143109,-76.6287198,(443) 451-5122,,https://www.therapistsinbaltimore.com,,1122 Kenilworth Dr #416,PhD,,MD,,"ADHD, Addiction, Anxiety, Child/Adolescent, Couples/Marriage, Depression, Eating Disorders, Family, Grief, LGBTQ+, Life Transitions, OCD, PTSD/Trauma, Perinatal/Postpartum, Stress Management",Kaiser Permanente,Unknown,,,,Yes - Video,,Yes,,,"ACT, CBT, DBT, EFT, Gottman Method, Psychodynamic",,,,what works and continually search for new ways to create change; PsyD ](https://www.therapistsinbaltimore.com/andrea-castelano-eating-disorder-therapist) [ Rachel Greenbe; PhD ](https://www.therapistsinbaltimore.com/heather-lyons-phd-black-psychologist-therapist-) [ Jennifer,,4.8,23,2026-02-18,outscraper,enriched_full
"Remedy Counseling, LLC",remedy-counseling-llc-severna-park-md,publish,gd_place,Therapist,"Remedy Counseling, LLC in Severna Park, MD. Specializes in ADHD, Addiction, Anger Management, Anxiety, Autism Spectrum.","819 Ritchie Hwy # 1020, Severna Park, MD 21146",Severna Park,MD,21146,US,39.0658607,-76.5344543,(410) 431-5111,,http://remedy-counseling.com,,819 Ritchie Hwy # 1020,,,MD,,"ADHD, Addiction, Anger Management, Anxiety, Autism Spectrum, Bipolar Disorder, Child/Adolescent, Couples/Marriage, Depression, Eating Disorders, Family, Grief, LGBTQ+, Life Transitions, OCD, PTSD/Trauma, Perinatal/Postpartum, Personality Disorders, Self-Harm, Stress Management",,Unknown,250.0,250.0,,Unknown,,Unknown,,,"CBT, DBT",,,,"ma Based Therapy; ma
- Trauma/Multiple Trauma’s",,4.2,34,2026-02-18,outscraper,enriched_basic
Safe Harbor Christian Counseling of Bowie,safe-harbor-christian-counseling-of-bowie-bowie-md,publish,gd_place,Therapist,"Safe Harbor Christian Counseling of Bowie (MD/Psychiatrist) in Bowie, MD.","3060 Mitchellville Rd Suite 106B, Bowie, MD 20716",Bowie,MD,20716,US,38.9321736,-76.7340511,(800) 305-2089,,https://www.safeharbor1.com,,3060 Mitchellville Rd Suite 106B,MD/Psychiatrist,,MD,,,,,,,,,,,,,,,,,,,4.9,169,2026-02-18,outscraper,cleaned
